message_id,PICSO Lab's comment,user_query,dewey_match,response,Pitt Cyber Notes,routing,risk,risk_note,created_at,email,conversation_id,Accurate?,Notes,Expert review,SheetName,Pitt Cyber notes,bgColor
1175537,should be able to check in which district is 15202 and give the answer (because it can answer for question “Who are the candidates in district 2?”). Location-based query is popular. In the future version it can be developed.,What candidates are on the ballot for 15202,Who are the candidates in district 2?,I'm checking to see if we're on the same page. Do any of these questions spark something? Who are the candidates in district 2?,,suggestion,,,2024-10-15 12:06:14 -0400,,182621.0,,"Suggestion misinterprets question, suggests incorrect district",,10-15-24,,FFF4CCCC
1175168,,Do I have to vote for every office on the ballot?,Do I have to vote for every office on the ballot?,"You do not have to vote for everything on the ballot. In Pennsylvania, you have the option to abstain from voting on specific races or ballot questions. It is your right to choose which races and issues you want to cast a vote for and which ones you prefer not to vote on.",,exact,,,2024-10-15 09:50:49 -0400,,182572.0,Yes,,,10-15-24,,FFD9EAD3
1175165,,Not voting for a office,What happens if no one runs for a particular office during an election in Pennsylvania?,Let's make sure you get the resources you need. Do one of these questions resonate? What happens if no one runs for a particular office during an election in Pennsylvania? Do I have to vote for every office on the ballot? Can I vote for someone not on the ballot?,,suggestion,,,2024-10-15 09:50:35 -0400,,182572.0,,,,10-15-24,,FFD9EAD3
1175152,,Can I vote for someone not on the ballot?,Can I vote for someone not on the ballot?,"Yes, you can submit a write-in name on your ballot in Pennsylvania. If you wish to vote for a candidate not listed on the ballot, you have the option to write their name in the designated space. However, it's essential to ensure that the candidate you're writing in is eligible for the office and that you spell their name correctly. Remember to follow all the instructions for completing your ballot to ensure that your write-in vote is counted accurately.",,exact,,,2024-10-15 09:47:37 -0400,,182568.0,,,,10-15-24,,FFD9EAD3
1175142,,Why doesn’t my current state representative have any opponents?,Why doesn’t my current state representative have any opponents?,"In Pennsylvania, many legislative districts have a strong partisan lean toward either Democrats or Republicans. As a result, some state representatives may not have opponents due to the lack of competitive districts and the closed primary system.",,exact,,,2024-10-15 09:46:15 -0400,,182568.0,,,,10-15-24,,FFD9EAD3
1175126,,What happens if no one runs for a particular office during an election in Pennsylvania?,What happens if no one runs for a particular office during an election in Pennsylvania?,"If no one runs for a municipal position in Pennsylvania, the municipality's other elected officials will appoint someone. ",,exact,,,2024-10-15 09:43:53 -0400,,182568.0,,,,10-15-24,,FFD9EAD3
1174891,can give the lists directly so the users do not to do additional work to find the answer (besides the link).,Who are the candidates for the state Senate in Pennsylvania?,Who are the candidates for the state Senate in Pennsylvania?,"Spotlight PA has published a list of ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-house-senate-full-list-candidates/"" every candidate running for the Pennsylvania legislature in 2024. You can use our ""https://www.spotlightpa.org/news/2024/09/pennsylvania-pennsylvania-ballot-sample-election-2024/"" sample ballot to find out who is running in your district.",,exact,,,2024-10-15 08:03:05 -0400,,182539.0,,,,10-15-24,,FFFFF2CC
1174888,Should have the answer,Candidates for Senator in the PA General Assembly in 31st district,Who is running for PA Senate?,Let's make sure you get the resources you need. Do one of these questions resonate? Who is running for PA Senate? Who are the candidates for the state Senate in Pennsylvania? Who is running for PA House of Representatives?,,suggestion,,,2024-10-15 08:02:52 -0400,,182539.0,,,,10-15-24,,FFF4CCCC
1174397,,Who are the major party nominees Pennsylvania Auditor General?,Who are the major party nominees Pennsylvania Auditor General?,"The major party nominees for Pennsylvania auditor general are Republican incumbent Tim DeFoor and Democrat Malcolm Kenyatta. Take our ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-auditor-general-candidates-quiz/"" PA auditor general quiz to see which major party candidate for Pennsylvania auditor general most closely aligns with what matters to you.",,exact,,,2024-10-15 01:17:04 -0400,,182488.0,Yes,,,10-15-24,,FFD9EAD3
1174394,should have the answer. There are only 5 candidates of auditor general in PA and the answer can be developed.,who's running for auditor general in pa,Who is running for treasurer in PA?,I'm checking to see if we're on the same page. Do any of these questions spark something? Who are the major party nominees Pennsylvania Auditor General? Who are the third-party candidates for Pennsylvania Auditor General? Who is the Republican candidate for auditor general?,Should be able to respond as in above,suggestion,,,2024-10-15 01:16:53 -0400,,182488.0,See notes,"Unclear why it doesn't just provide a list of candidates running/why one of the suggestions is a question about the republican candidate but none of the others mention specific parties. Also, this question is missing a 'for', bolded here: ""Who are the major party nominees for Pennsylvania Auditor General?""",,10-15-24,,FFF4CCCC
1172669,,Is Robert Kennedy on the PA ballot?,Will Robert Kennedy Jr be on the PA ballot?,"No, Robert F. Kennedy Jr. will not be on the Pennsylvania ballot as a candidate for U.S. president. ",,exact,,,2024-10-14 17:04:35 -0400,,182291.0,Yes,,,10-11-24 & 10-14-24,,FFD9EAD3
1172663,,Who are the candidates for treasurer?,Who are the candidates for treasurer?,"In the upcoming election for Pennsylvania treasurer, Republican incumbent Stacy Garrity faces Democrat Erin McClelland, Nickolas Ciesielski of the Libertarian Party, Chris Foster of the Forward Party, and Troy Bowman of the Constitution Party. Take our ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-treasurer-candidates-quiz/"" PA treasurer candidate quiz to see which major party candidate for Pennsylvania treasurer most closely aligns with what matters to you.",,exact,,,2024-10-14 17:04:02 -0400,,182291.0,Yes,,,10-11-24 & 10-14-24,,FFD9EAD3
1172661,can give the lists of candidates and their profile and say that we don't endorse anyone. ,Who should I vote for for State Treasurer?,Who is running for treasurer?,Let's make sure you get the resources you need. Do one of these questions resonate? Who is the Republican candidate for treasurer? Who are the candidates for treasurer? Who is the Democratic candidate for treasurer? ,,suggestion,,,2024-10-14 17:03:42 -0400,,182291.0,,,,10-11-24 & 10-14-24,"Want to use language below as in 1161367, re won't provide endorsements?",FFF4CCCC
1172270,,What does the auditor general do in Pennsylvania?,What does the auditor general do in Pennsylvania?,"An auditor general — also called a comptroller, state auditor, or auditor of public accounts in other states — monitors the spending of public funds. In Pennsylvania, the department describes itself as the “chief fiscal watchdog of the commonwealth.” The agency performs financial and performance audits of everything from district courts and municipal pension plans, to state-owned universities and commonwealth departments. The reports it regularly releases detail its findings and recommend fixes and policies.",,exact,,,2024-10-14 15:03:08 -0400,,182239.0,Yes,,,10-11-24 & 10-14-24,,FFD9EAD3
1172268,should have the answer,what is auditor general,What does the auditor general do in Pennsylvania?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? What does the auditor general do in Pennsylvania? How long is the term for the auditor general in Pennsylvania? When is the election for auditor general taking place?,,suggestion,,,2024-10-14 15:03:00 -0400,,182239.0,,,,10-11-24 & 10-14-24,,FFF4CCCC
1172036,,Who is running for attorney general?,Who is running for attorney general?,"In the upcoming election for Pennsylvania attorney general, Democrat Eugene DePasquale and Republican Dave Sunday will face third-party candidates Robert Cowburn of the Libertarian Party, Justin L. Magill of the Constitution Party, Eric L. Settle of the Forward Party, and Richard L. Weiss of the Green Party. Take our ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-attorney-general-candidates-quiz/"" PA attorney general candidate quiz to see which major party candidate for Pennsylvania attorney general most closely aligns with what matters to you.",,exact,,,2024-10-14 14:14:29 -0400,,182211.0,Yes,,,10-11-24 & 10-14-24,,FFD9EAD3
1171860,,Who is Mary Gay Scanlon?,Who is Mary Gay Scanlon?,"Mary Gay Scanlon is the Democratic incumbent running to represent Pennsylvania's 5th Congressional District in the U.S. House of Representatives. Scanlon has served in the U.S. House since 2018 and is ""https://scanlon.house.gov/about/committees-and-caucuses.htm"" currently a member of the Judiciary Committee and the Committee on Rules. After ""https://scanlon.house.gov/about/"" graduating from Colgate University and the University of Pennsylvania Law School, she worked as an attorney at the Education Law Center and served in multiple leadership roles in the Wallingford-Swarthmore School Board.",,exact,,,2024-10-14 13:13:17 -0400,,182191.0,Yes,,,10-11-24 & 10-14-24,,FFD9EAD3
1171701,can give each candidates' view on the matters (recovery and mental health care) and say that the app doesn't endorse anyone.,Who has the best policy on recovery health care  and mental health care in presidential race and in pa,Who is likely to win the Presidential election in Pennsylvania?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,2024-10-14 12:24:31 -0400,,182168.0,,,,10-11-24 & 10-14-24,,FFF4CCCC
1171701,can give each candidates' view on the matters (recovery and mental health care) and say that the app doesn't endorse anyone.,Who has the best policy on recovery health care  and mental health care in presidential race and in pa,Who is running for PA House?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,2024-10-14 12:24:31 -0400,,182168.0,,,,10-11-24 & 10-14-24,,FFF4CCCC
1162684,Similar question to 1150789? Should it give similar answer? Also see our notes for 1150789.,What are the most critical issues on the ballot for Pennsylvanians in the 2024 election?,What is on the ballot for Pennsylvanians this year?,I'm checking to see if we're on the same page. Do any of these questions spark something? What is on the ballot for Pennsylvanians this year? What are the most important elections in PA in 2024? What are the main issues in the Pennsylvania Senate race?,,suggestion,,,2024-10-11 16:16:13 -0400,,181063.0,,,,10-11-24 & 10-14-24,,FFFFF2CC
1162022,,Who is running for attorney general?,Who is running for attorney general?,"In the upcoming election for Pennsylvania attorney general, Democrat Eugene DePasquale and Republican Dave Sunday will face third-party candidates Robert Cowburn of the Libertarian Party, Justin L. Magill of the Constitution Party, Eric L. Settle of the Forward Party, and Richard L. Weiss of the Green Party.",,exact,,,2024-10-11 13:21:54 -0400,,180984.0,Yes,,,10-11-24 & 10-14-24,,FFD9EAD3
1161732,can give the answer of the candidate currently leading Pennsylvania (with a reference link to a website) when there is any (like during the counting).,Who will win the district 64 house race,Who will win the District 4 House race?,Let's make sure you get the resources you need. Do one of these questions resonate? Who will win the District 3 House race?,,suggestion,,,2024-10-11 11:55:12 -0400,,180948.0,,Ibid. (see below),,10-11-24 & 10-14-24,"Presumably won't be an ansewr to suggested question, Who will win the District 3 House race?",FFFFF2CC
1161729,can give the answer of the candidate currently leading Pennsylvania (with a reference link to a website) when there is any (like during the counting).,Who will win the seat in district 64,Who will win the District 14 House race?,Let's make sure you get the resources you need. Do one of these questions resonate? Who will win the District 3 House race?,,suggestion,,,2024-10-11 11:54:31 -0400,,180948.0,,"Again, not sure why it proposes a question about District 3, not relevant.",,10-11-24 & 10-14-24,"Presumably won't be an ansewr to suggested question, Who will win the District 3 House race?",FFFFF2CC
1161727,,No,No,Sorry about that. Can you rephrase to ask your question again?,,exact,,,2024-10-11 11:53:58 -0400,,180948.0,,,,10-11-24 & 10-14-24,,FFD9EAD3
1161725,can give the answer of the candidate currently leading Pennsylvania (with a reference link to a website) when there is any (like during the counting).,What are the odds that Ron Johnson beats r lee James in district 64,Who will win the District 6 House race?,I'm checking to see if we're on the same page. Do any of these questions spark something? Who will win the District 3 House race?,,suggestion,,,2024-10-11 11:53:32 -0400,,180948.0,,"Not sure why it proposes a question about District 3, not relevant.",,10-11-24 & 10-14-24,"Presumably won't be an ansewr to suggested question, Who will win the District 3 House race?",FFFFF2CC
1161367,,who should i vote for,Who should I vote for?,"Our goal is to provide you with the critical facts and context you need to confidently cast a vote. Our newsroom will never endorse candidates. If you are not sure about who you want to vote for, you can check out our guides for more information on the races on the ballot and the candidates by visiting the ""https://www.spotlightpa.org/pa-election-2024"" Spotlight PA Election Center.",,exact,,,2024-10-11 09:28:28 -0400,,180901.0,See notes,"Not sure why this link is different than previous ones, but it doesn't work. It should be: https://www.spotlightpa.org/elections-2024/",,10-11-24 & 10-14-24,,FFD9EAD3
1161262,,How many candidates for General Assembly can I vote for?,How many candidates for General Assembly can I vote for?,"In the upcoming general election, Pennsylvanians can vote for one candidate for the Pennsylvania House of Representatives. Half of the 50-member state Senate will be up for election this year. ",,exact,,,2024-10-11 08:32:27 -0400,,180884.0,Yes,,,10-11-24 & 10-14-24,,FFD9EAD3
1158323,,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",,exact,,,2024-10-10 13:13:57 -0400,,180531.0,Yes,,,10-10-24,,FFD9EAD3
1158319,should have the answer. This is an important question.,How do I change my voter registration status?,How do I check my voter registration?,I'm checking to see if we're on the same page. Do any of these questions spark something? How do I check my voter registration? How do I change my voter registration after I move? How do I register to vote? ,,suggestion,,,2024-10-10 13:13:40 -0400,,180531.0,,,,10-10-24,Worth having an answer to,FFF4CCCC
1158112,,Do I have to vote in every race,Do I have to vote for every office on the ballot?,"You do not have to vote for everything on the ballot. In Pennsylvania, you have the option to abstain from voting on specific races or ballot questions. It is your right to choose which races and issues you want to cast a vote for and which ones you prefer not to vote on.",,exact,,,2024-10-10 12:06:23 -0400,,180501.0,Yes,,,10-10-24,,FFD9EAD3
1157230,,How do I request a mail ballot?,How do I request a mail ballot?,"You can apply for a mail ballot in Pennsylvania ""https://www.vote.pa.gov/Voting-in-PA/Pages/Mail-and-Absentee-Ballot.aspx"" online at the Department of State's website, in person at your county election office, or through the mail. Applications to vote by mail in the 2024 general election must be received by 5 p.m. on Oct. 29. You must provide proper identification to apply for a mail ballot. Acceptable options include a valid Pennsylvania driver’s license or other current state-issued ID, or the last four digits of a Social Security number. You can also use a photo ID from an accredited Pennsylvania public or private institution, like a college or university. For a full list of approved forms of identification, please refer to the ""https://www.vote.pa.gov/Voting-in-PA/Pages/Mail-and-Absentee-Ballot.aspx"" Department of State's website. You can either apply for a one-time mail ballot or to be added to the annual request list, which means you’ll get an application each year. If you encounter any issues or have further questions, you can contact the Department of State's hotline at 1-877-VOTESPA for assistance.",,exact,,,2024-10-10 07:24:16 -0400,,180390.0,See notes,"First, flagging that this sentence: ""You can also use a photo ID from an accredited Pennsylvania public or private institution, like a college or university"" is not entirely accurate *for a mail ballot.* On the mail ballot page, the Dept. of State lists ""a photo employee identification issued by an accredited Pennsylvania public or private institution of higher learning"" as a valid form of ID, but the way the chatbot's response is phrased suggests that a student ID is valid ID for a *mail ballot* application-- I'm not sure that is the case. Second, here are a couple of other suggestions: 1) link to the online application form (here) 2) Specify that ""Applications to vote by mail in the 2024 general election must be received by your county election office by 5 p.m. on Oct. 29"" 3) Swap ""or other current state-issued ID"" to ""or a valid PennDOT ID card""",,10-10-24,Needs to be fixed per notes,FFD9EAD3
1157228,Should have the answer,Where can I apply for ballot and vote same day?,Where can I register to vote?,Let's make sure you get the resources you need. Do one of these questions resonate? Where can I register to vote? How do I apply for an alternative ballot? How do I request a mail ballot?,,suggestion,,,2024-10-10 07:24:05 -0400,,180390.0,,,,10-10-24,Might be helpful to have an answer about (no) same-day voting in PA + with registration deadline,FFF4CCCC
1156307,Should have the answer,Who is Kristin Marcell?,Who is Marianne Williamson?,I'm sorry. It looks like I don't have an answer in our archives. I'll pass the question on to the Spotlight PA team as a topic for future reporting.,,no_match,,,2024-10-09 22:27:03 -0400,,180289.0,,,,10-10-24,Seems like strong desire for candidate information indicated by user logs; could do analyssis re info re candidates v. election administration info v. otherwise,FFF4CCCC
1156299,,Where can I find more information about the candidates and elections in Pennsylvania?,Where can I find more information about the candidates and elections in Pennsylvania?,"To learn about candidates, election administration, and other related topics, you can visit our ""https://www.spotlightpa.org/elections-2024/"" Election Center. We conduct in-depth reporting on Pennsylvania elections, and offer unbiased, factual information to help you make informed decisions. Our coverage includes candidate profiles, policy positions, and updates on the electoral process. You can also visit ""https://www.vote.pa.gov/Pages/default.aspx"" Pennsylvania’s Department of State's website to register to vote, check your registration status, and find your polling place and local county board of elections.",,exact,,,2024-10-09 22:26:35 -0400,,180289.0,Yes,,,10-10-24,,FFD9EAD3
1156297,Should have the answer,"What can you tell me about Paul Lang Jr, a candidate for PA's 178th district?",Who is running for PA House?,I want to make sure I get this right and that I understand what you need. Do any of these questions strike a chord? Who is running for PA House of Representatives? Which PA congresspeople are up for reelection? Where can I find more information about the candidates and elections in Pennsylvania?,,suggestion,,,2024-10-09 22:26:22 -0400,,180289.0,,,,10-10-24,,FFF4CCCC
1155904,,Who are the candidates for auditor general?,Who are the candidates for auditor general?,"In the upcoming election for Pennsylvania auditor general, incumbent Republican Tim DeFoor is seeking a second term. He will face Democratic state Rep. Malcolm Kenyatta, Alan Goodrich of the Constitution Party, Libertarian Reece Smith, and Eric K. Anton from the American Solidarity Party.",,exact,,,2024-10-09 21:04:57 -0400,,180244.0,Yes,,,10-10-24,,FFD9EAD3
1154389,,Who is running for attorney general?,Who is running for attorney general?,"In the upcoming election for Pennsylvania attorney general, Democrat Eugene DePasquale and Republican Dave Sunday will face third-party candidates Robert Cowburn of the Libertarian Party, Justin L. Magill of the Constitution Party, Eric L. Settle of the Forward Party, and Richard L. Weiss of the Green Party.",,exact,,,2024-10-09 14:11:49 -0400,,180064.0,Yes,,,10-9-24,,FFD9EAD3
1153677,,Who is running in the 10th congressional district?,Who is running in the 10th congressional district?,Janelle Stelson is the Democratic candidate and Scott Perry is the Republican incumbent running to represent Pennsylvania's 10th Congressional District in the U.S. House of Representatives.,,exact,,,2024-10-09 11:38:57 -0400,,179974.0,Yes,,,10-9-24,,FFD9EAD3
1153673,,no,No,Sorry about that. Can you rephrase to ask your question again? ,,exact,,,2024-10-09 11:38:17 -0400,,179974.0,,,,10-9-24,,FFD9EAD3
1153065,see 1139108 (sheet 10-5-24 & 10-6-24),When will I receive a mail in ballot?,When should I expect to receive my mail-in ballot?,"Most counties in Pennsylvania begin mailing out mail ballots approximately 50 days before an election. Secretary of the Commonwealth Al Schmidt certified the official list of candidates on Sept. 16. That means counties can prepare ballots to be printed and begin sending them to voters. Check ballot availability ""https://www.pa.gov/en/agencies/vote/voter-support/ballot-availability.html"" here. If you have not received your ballot within a reasonable timeframe, it is advisable to contact ""https://www.pa.gov/en/agencies/vote/contact-us/contact-your-election-officials.html#sortCriteria=%40copapwptitle%20ascending"" your county election office for assistance.",,exact,,,2024-10-09 08:37:32 -0400,,179900.0,Yes- see notes,"Given that many counties do not have ballots available (per here), it doesn't seem accurate to say that ""most counties in Pennsylvania begin mailing out mail ballots approximately 50 days before an election"". State dept website says ""Sept. 16 (50 days before Election Day) was the date by which Pennsylvania’s counties had to begin processing mail ballot applications. It was not a hard-and-fast date for when counties were required to have mail ballots ready to provide to voters who request them.""",,10-9-24,,FFFFF2CC
1152747,can ask which district or address first and give the answer directly (besides the link). Location-based query is popular. In the future version it can be developed.,Who are the candidates running for state senate in my district?,Who are the candidates running for state senate in my district?,"Pennsylvania has 50 state Senate districts, each with its own candidates. Elections for these seats take place every even-numbered year, but not all seats are up for election at the same time. In presidential election years like 2024, senators in odd-numbered districts are on the ballot. Use ""https://www.spotlightpa.org/news/2024/09/pennsylvania-pennsylvania-ballot-sample-election-2024/"" Spotlight PA's sample ballot to see the candidates in your district. See a full list of candidates ""https://www.spotlightpa.org/news/2024/10/pennsylvania-election-2024-house-senate-full-list-candidates/"" here.",,exact,,,2024-10-09 06:22:32 -0400,,179860.0,Yes,,,10-9-24,,FFFFF2CC
1152738,,Who is the Democratic candidate for U.S. Senate?,Who is the Democratic candidate for U.S. Senate?,The Democratic candidate for the U.S. Senate is incumbent Bob Casey. He has served in the Senate since 2007.,,exact,,,2024-10-09 06:17:21 -0400,,179860.0,Yes,,,10-9-24,,FFD9EAD3
1152737,,Who is the Democratic candidate for U.S. Senate?,Who is the Democratic candidate for U.S. Senate?,The Democratic candidate for the U.S. Senate is incumbent Bob Casey. He has served in the Senate since 2007.,,exact,,,2024-10-09 06:17:21 -0400,,179860.0,Yes,,,10-9-24,,FFD9EAD3
1152283,,What are the statewide races in Pennsylvania?,What statewide races are happening in PA this year?,"Pennsylvanians statewide will vote in races for president, U.S. Senate, and row offices (attorney general, auditor general, and treasurer). In addition, all voters will see candidates for the U.S. House and Pennsylvania House. Depending on where they live, some voters will also see races for state Senate. ",,exact,,,2024-10-08 23:48:03 -0400,,179804.0,Yes,,,10-9-24,,FFD9EAD3
1152281,,Does it really matter if I vote?,Does it really matter if I vote?,"Yes, voting matters. By participating in the democratic process, you can have a direct impact on the selection of leaders and the direction of public policies at the local, state, and national levels. Your vote is an important way to ensure your voice is heard on the issues that affect your daily life, your community, and the state of Pennsylvania.",,exact,,,2024-10-08 23:47:46 -0400,,179767.0,Yes,,,10-9-24,Could align with below,FFD9EAD3
1152060,,Why should I vote?,Why should I vote?,"Voting is essential for shaping the direction of our communities and our state. By participating in the democratic process, you can have a direct impact on the policies and leaders that will govern our society. Your vote is an important way to ensure that your voice is heard and that the issues you care about are represented in our government.",,exact,,,2024-10-08 22:10:19 -0400,,179767.0,Yes,,,10-9-24,,FFD9EAD3
1152057,,Should I vote for Donald Trump?,Why should I vote for Donald Trump?,"Our goal is to provide you with the critical facts and context you need to confidently cast a vote. Our newsroom will never endorse candidates. If you are unsure about whom to vote for, you can check out our guides for more information on the races on the ballot and the candidates by visiting the ""https://www.spotlightpa.org/elections-2024/"" Spotlight PA Election Center.",,exact,,,2024-10-08 22:10:07 -0400,,179767.0,Yes,,,10-9-24,,FFD9EAD3
1152054,,How do I check my voter registration?,How do I check my voter registration?,"To check your voter registration in Pennsylvania, you can visit the ""https://www.pavoterservices.pa.gov/pages/voterregistrationstatus.aspx"" Department of State's website. There, you can look up your status by name or driver's license / PennDOT ID number. If you have questions or encounter problems, you can also call the Department of State's hotline at 1-877-VOTESPA.",,exact,,,2024-10-08 22:09:47 -0400,,179767.0,Yes,,,10-9-24,,FFD9EAD3
1151980,"It answer the question, but maybe I want to be specific answer: for president.",Can you write in for President,Can I submit a write in name on my ballot?,"Yes, you can submit a write-in name on your ballot in Pennsylvania. If you wish to vote for a candidate not listed on the ballot, you have the option to write their name in the designated space. However, it's essential to ensure that the candidate you're writing in is eligible for the office and that you spell their name correctly. Remember to follow all the instructions for completing your ballot to ensure that your write-in vote is counted accurately.",,exact,,,2024-10-08 21:50:54 -0400,,179755.0,Yes,"Add link, per 10/8 notes?",,10-9-24,,FFFFF2CC
1150789,I'm not sure why these are the stake (need sources or evidence and more explanations.),What are some of the biggest issues as stake during this election?,What are some of the biggest issues as stake during this election?,"During the 2024 election in Pennsylvania, some of the key issues at stake include ensuring the integrity and security of the election process, addressing misinformation and disinformation, and building trust in the electoral system. Our coverage focuses on connecting these issues to the lives of Pennsylvanians and providing essential election information, interactive tools, and resources to empower voters in making informed choices.",,exact,,,2024-10-08 16:16:12 -0400,,179621.0,Yes- see notes,"Perhaps add some more concrete issues at stake in upcoming elections? Ie. abortion rights, environment, etc?",,10-9-24,We should flag this for review. ,FFFFF2CC
1150780,,What are the main issues in the Pennsylvania Senate race?,What are the main issues in the Pennsylvania Senate race?,"The main issues in the Pennsylvania Senate race include abortion, energy, and the economy, particularly the candidates' approaches to relations with China. ",,exact,,,2024-10-08 16:15:36 -0400,,179621.0,Yes,,,10-9-24,,FFD9EAD3
1150351,,Is there anyway possible that someone could vote more than once in the Pennsylvania election?,Is there anyway possible that someone could vote more than once in the Pennsylvania election?,"According to the ""https://www.pa.gov/en/agencies/vote/elections/election-security.html#accordion-68c89328b6-item-c0746119c7"" Pennsylvania Department of State, ""Several layers of protection are built into the process of ensuring each eligible voter successfully casts only one ballot per election. For example, mail ballot envelopes have unique barcodes that are scanned when received, assuring that only one ballot is counted per voter. In addition, poll books identify voters who have already received their mail ballot so poll workers on Election Day know who may vote in person at the polls.""",,exact,,,2024-10-08 14:13:21 -0400,,179548.0,Yes,,,10-9-24,,FFD9EAD3
